.	clusterCut_r
SCG5	1
MCHR1	1
PCBP3	3
DGAT2	3
CGREF1	3
HCG4	3
KCNG1	3
CCBE1	3
LRRC8E	3
KIAA1644	3
GLIS1	3
STEAP2	3
STEAP1	3
CA12	3
SPOCK1	3
RARRES2	3
LRRC61	3
C7orf29	3
TSTD1	3
FBXO27	3
CHI3L1	3
PTGDS	3
C3orf55	3
MLPH	3
CTSK	3
MUC12	3
CALB2	3
HBA1	3
IGSF21	3
ADRA2B	2
INMT	2
ADH1B	2
GPX3	2
CYP4F12	2
F10	2
SCNN1B	2
FMO2	2
CLIC5	2
SV2B	2
VIPR1	2
DNASE1L3	2
GPIHBP1	2
CCL14	2
CA4	2
SCN4A	2
FABP4	2
CD36	2
AQP7	2
CD300LG	2
BTNL9	2
PDE1A	2
COL14A1	2
MFAP4	2
CILP	2
PKNOX2	2
MN1	2
EFHD1	2
ASPA	2
AIF1L	2
GPR133	2
PALM	2
ELN	2
TRIL	2
TMEM100	2
OLFML1	2
RXRG	2
CORO2B	2
C15orf59	2
GRID1	2
PRRX2	2
GSC	2
PTPRT	2
KIAA1324L	2
SDK1	2
CDH23	2
EYA2	2
KCNB2	2
KCNJ12	2
SPSB4	2
psiTPTE22	2
NEGR1	2
KCNT2	2
FIGN	2
NLGN1	2
CLDN11	2
LOXL4	2
PAMR1	2
NOVA1	2
GLT25D2	2
MAP1LC3C	2
IL17D	2
FNDC5	2
VASH2	2
DLGAP1	2
LRRC17	2
ISLR	2
PTGIS	2
KCNA6	2
SYN2	2
COL6A6	2
VWCE	2
LOC100190938	2
LASS1	2
GDF1	2
FAM132A	2
C1QTNF4	2
KCNMB2	2
IL20RA	2
F7	2
FLJ16779	2
NKAIN4	2
FAM163A	2
FGFR4	2
CACNA1I	2
INS-IGF2	2
IGF2AS	2
IGF2	2
CYP2W1	2
DLK1	2
LYPD6B	2
AQP5	2
PPP1R1B	2
CECR2	2
FRMPD1	2
DLGAP2	2
ZNF556	2
GFRA1	2
ALDH1A3	2
FGF18	2
BMP7	2
ENTPD2	2
FAM155B	2
SHISA6	2
DNAH9	2
KLF14	2
MEST	2
NKAIN1	2
HS6ST2	2
DACT2	2
PCSK6	2
MMP23B	2
MMP23A	2
SMTNL2	2
HRC	2
H19	2
HSD11B2	2
SERPINA5	2
APOD	2
CCDC48	2
KBTBD11	2
SPATA18	2
CYP27B1	2
MDM2	2
KCNMB4	2
GAP43	2
PTPRZ1	2
SCN9A	2
AQP7P1	2
NEBL	2
CHL1	2
SLC19A3	2
PRRG3	2
MPO	2
PON3	2
LMX1A	2
GPR64	2
TSHZ2	2
SVEP1	2
ZNF423	2
EBF3	2
EBF2	2
FAM43B	2
CYGB	2
TNNT3	2
WNT11	2
MATN4	2
SLC17A7	2
WNT10B	2
LRRN4CL	2
ADAMTS5	2
VIT	2
PRG4	2
PI16	2
FAM180B	2
ABCA8	2
ABCA10	2
ABCA6	2
ABCA9	2
SCARA5	2
XPNPEP2	2
PLAC9	2
CFD	2
ELANE	2
CYP21A2	2
CLEC3B	2
TNXB	2
FIGF	2
ADH1C	2
GAS7	2
TRPV3	2
WNT2B	2
FHDC1	2
BCAS1	2
SLPI	2
PI3	2
MLXIPL	2
TMEM184A	2
DEFB1	2
KCNJ16	2
CALB1	2
PGA4	2
PGA5	2
PGA3	2
LOC389033	2
MMP27	2
FGF16	2
C4BPA	2
SPRR2E	2
SPRR2D	2
SPRR2F	2
SPRR2B	2
PLAC1	2
PTH2R	2
GRIK1	2
LUZP2	2
SGCG	2
VGLL2	2
FEZF1	2
ISL1	2
GDF6	2
FGF9	2
PCSK9	2
ANKRD43	2
SERPIND1	2
CTNNA2	2
DHRS2	2
PTHLH	2
ANO4	2
CYP27C1	2
GFRA2	2
RNF212	2
KCNK15	2
RIMS4	2
HCN2	2
TMEM151A	2
DMKN	2
RHCG	2
TRIM29	2
WNT4	2
CLIC6	2
CHRD	2
THPO	2
PLCH2	2
CLIC3	2
KCNK5	2
RTN4RL1	2
RBP4	2
CYP11A1	2
ARHGAP8	2
GSTM1	2
GSTM5	2
PRSS3	2
CPA6	2
SPINK5	2
SULT1C2	2
TSPAN8	2
NRXN2	2
NDP	2
RNF175	2
RAB36	2
EMID1	2
FAM134B	2
COBL	2
ZNF385B	2
NDRG4	2
GPR143	2
NECAB2	2
KCNH1	2
ASPHD1	2
SEZ6L2	2
FZD3	2
FBXO16	2
PERP	2
KIAA1244	2
NGEF	2
CD24	2
EPB41L4B	2
EMX2	2
EMX2OS	2
HOXA13	2
HOXA11	2
HOXA11AS	2
TFAP2C	2
FAM65C	2
NEFM	2
NEFL	2
LSAMP	2
NDN	2
PNMAL1	2
MAGED4	2
MAGED4B	2
NUDT10	2
NUDT11	2
ST8SIA2	2
TRPC3	2
KIAA1211	2
ADAM23	2
DSG2	2
CDH2	2
HRASLS	2
TRAM1L1	2
DNAH14	2
FBN2	2
CRISPLD1	2
ADAMTS3	2
LRRC4C	2
DOK6	2
NPAS3	2
PRTG	2
ZNF280B	2
GYG2	2
B4GALT6	2
VANGL2	2
SMO	2
FLRT3	2
SALL1	2
GREB1	2
MAP9	2
SAMD5	2
SNCAIP	2
CMYA5	2
KCNK17	2
LAMC3	2
ADRA1D	2
PRND	2
LY6H	2
GAL	2
RASD1	2
DPEP1	2
OLFM4	2
CHGA	2
SLC16A8	2
TMEM90B	2
MEGF6	2
GCK	2
PHACTR3	2
SULT4A1	2
SCUBE1	2
TDRD9	2
FAM155A	2
ASXL3	2
ISM1	2
MPPED2	2
PRSS35	2
PCDH19	2
TNMD	2
MEOX1	2
THBS4	2
DIO2	2
KAL1	2
ADAMTSL3	2
AVPR1A	2
CNTN6	2
DKK2	2
PANX2	2
SRRM3	2
BEAN	2
PPAP2C	2
VSTM2L	2
TERT	2
PRSS21	2
CPNE7	2
NTSR1	2
CAMK1G	2
ALK	2
VGF	2
ETV4	2
CPNE4	2
DNER	2
CTNND2	2
PCSK2	2
SHISA9	2
OPCML	2
GRM8	2
NLGN4X	2
GABRB3	2
VAT1L	2
TFAP2A	2
PLCH1	2
NRG1	2
RNF182	2
NPFFR2	2
CDH18	2
SLITRK1	2
CBLN2	2
DSC3	2
AGTR2	2
FAM5C	2
SLITRK6	2
PCDH11X	2
LRP1B	2
CDH10	2
MDGA2	2
SLITRK5	2
CADPS	2
FAM196B	2
SIM1	2
LHX8	2
LGR5	2
SYTL5	2
LOC643763	2
C4orf31	2
CNTN3	2
LRRTM3	2
CNTN1	2
SLC6A15	2
LPPR5	2
ALX1	2
FOXG1	2
IGF2BP1	2
IGF2BP3	2
HOXB13	2
HOXB9	2
SCUBE3	2
RAB3B	2
WNK4	2
CSMD1	2
LIX1	2
