rowname,logFC,AveExpr,t,P.Value,adj.P.Val,B
CXorf51,0.010541021173948792,0.039213257575757575,0.3826813923685394,0.70226489529077,0.7653412411253586,-7.435007832027786
LYZ,0.6994168721522369,10.333042045454546,2.532748795350763,0.011898851165480711,0.021450949633589657,-4.336782130816091
SYCE1,1.0333896408469614,2.272928409090909,2.7564321867301236,0.006252250774290062,0.011979347493810076,-3.7601318961439683
SUSD4,-2.459554449209328,5.828604166666667,-8.389421933377465,3.0169531236156904e-15,3.393865623442746e-14,23.691770934689558
SUSD5,-3.2879056419190564,7.0412170454545455,-10.544901521444698,6.47024517595424e-22,1.4975663299023738e-20,38.87821721545323
CGREF1,0.03888480300187561,6.314060606060606,0.11279473608394144,0.9102792808285673,0.9441261814393497,-7.501904878169487
SUSD3,-1.011946153846152,5.7432704545454545,-4.198234531324411,3.6835162912973885e-5,0.00010447995228009863,1.0280947052529275
SUSD1,0.64967657464486706,7.748447727272727,4.890516376913429,1.7525078014842925e-6,6.1366169477183225e-6,3.945837311493289
POLR2F,0.07358196194049922,9.930003787878787,0.8472159115034247,0.3976445707530699,0.479396502293765,-7.1495730445579335
TRIML2,0.20063536585365804,1.3418314393939395,0.920346074179654,0.3582347730312432,0.43863302262369075,-7.085080033450329
LYN,1.0596860225140732,9.07039356060606,6.675701329095449,1.45161036736809e-10,9.000773434632102e-10,13.089026628467852
PAFAH1B2,-0.12967463146609495,7.623129924242424,-0.9259747770742908,0.355307425020564,0.4355422400090864,-7.079896311001364
PRH2,-0.016485272045028306,2.3074473484848483,-0.11768324121453191,0.9064084111412314,0.9411574287239268,-7.501341087346575
LOC441177,-1.2834473599571226,1.1378113636363636,-6.587435009916652,2.4231490997525734e-10,1.4597198068638595e-9,12.58732008795127
TINAGL1,-1.557965746448671,9.096351515151515,-7.626701581418235,4.4041681466930154e-13,3.792683391426494e-12,18.781614480207566
VAMP1,-1.308074792280888,7.631016287878788,-10.08082085927229,2.0168206912074053e-20,3.932129989600003e-19,35.47119186629797
PSORS1C1,-0.4694408871616192,3.693033712121212,-2.1756889898028997,0.030468469498681785,0.050416513162564444,-5.1605863024500955
PSORS1C3,-0.08069288394532265,0.6834488636363636,-0.5988730494472388,0.549772674085337,0.6265477771968557,-7.328918908429499
PSORS1C2,-0.6559869606003746,1.4308958333333333,-4.054565419646415,6.620403414173972e-5,1.807645725402203e-4,0.4709319514624122
LY9,0.35206901634950455,4.114188636363636,1.3380612649394272,0.18203144447977607,0.24578135844589297,-6.61535864883721
PAGE2B,1.6507250469043142,1.6594132575757576,4.599127631149642,6.597413988818061e-6,2.109733788013003e-5,2.671540065481878
SUCLG2,-0.4346077459126216,9.7718901515151515,-6.0137579969646655,6.035314231833688e-9,2.9928744246267055e-8,9.446034164682768
VCX3B,0.44881811846689945,0.5281515151515151,3.26847489558102,0.0012251746480226235,0.0026846873224361683,-2.2682873271029607
VPS13D,0.0327857812918787,10.326407196969697,0.4254016996503012,0.670891512088132,0.7370185543219901,-7.417743331911357
PTX3,2.9707248592870528,8.40705946969697,8.993024044796488,4.8637647983615065e-17,6.820566346336184e-16,27.767072842789407
SEC23IP,0.3027594210667388,9.711436363636363,3.5949705939547756,3.87265487674306e-4,9.296726452237492e-4,-1.1951749978021402
DOHH,0.24809616724738584,8.81749696969697,3.3121802340130615,0.0010554278503251513,0.002342985917730899,-2.130065458806949
IP6K3,-1.5458204770838913,3.6654,-4.3759542341432764,1.744672652849803e-5,5.22282437489158e-5,1.7406935878218892
IP6K2,0.26907941570624605,10.184993181818182,3.7594693130771764,2.098083657042926e-4,5.274755997929374e-4,-0.6194552964214113
CWC15,0.07500613776467493,9.687135606060606,1.0355673980617426,0.3013546064350496,0.3792564255570139,-6.972714924440249
GH1,0.3894092066470107,0.4930465909090909,3.6640048294632392,3.0022570664549884e-4,7.352539374247991e-4,-0.9563958131790393
OTUD6B,-0.394936303939963,7.840600378787879,-4.053296111105426,6.654308176278123e-5,1.8166615273801842e-4,0.46608553264000196
NACC1,0.3044481372286242,10.556109090909091,3.744612242666696,2.2194765530064042e-4,5.547340349795651e-4,-0.6724052123191804
BRSK2,-1.1139127981774317,3.3179435606060608,-3.9200668505909424,1.1295495599130714e-4,2.9745577815566134e-4,-0.035131104323767204
BRSK1,-1.2552555615116572,7.156229545454545,-6.186024468845052,2.348081638220255e-9,1.2297478579760673e-8,10.367046727083771
SNRNP200,-0.2570520637898695,12.398549621212121,-3.4287331248351856,7.037003721554035e-4,0.0016122049593070456,-1.753220394248162
MEPCE,0.09726484856606864,10.468614772727273,1.5190020763001992,0.12996237361053264,0.18296149833533806,-6.358666229844617
TNIK,-1.0071337845081738,7.458268560606061,-5.575918798490392,6.097921114198451e-8,2.641146001571608e-7,7.195199378909633
SH3KBP1,1.8793901768962749,10.402345075757577,15.753309682855695,7.728188445816152e-40,8.568941204209266e-38,79.85992789706755
