gene	siADNP1	siADNP2	siADNP3	SCR1	SCR2	SCR3
C12orf4	158	206	173	254	297	251
C12orf40	0	0	0	0	0	0
C12orf42	0	0	1	0	0	0
C12orf43	206	196	151	221	223	188
C12orf44	173	210	159	160	209	169
C12orf45	219	222	199	260	297	231
C12orf47	173	175	155	191	221	174
C12orf49	368	408	341	389	417	407
C12orf5	295	340	238	352	353	318
C12orf50	0	0	0	0	0	0
C12orf51	614	667	517	743	736	666
C12orf52	105	120	96	112	138	138
C12orf53	0	0	2	1	0	0
C12orf54	0	0	0	0	0	0
C12orf56	0	0	0	0	0	0
C12orf57	873	866	823	698	834	657
C12orf59	0	0	0	0	0	0
C12orf60	26	26	30	31	52	36
C12orf61	1	0	4	5	0	2
C12orf65	397	368	355	384	386	310
C12orf66	93	88	79	112	118	101
C12orf68	5	3	4	0	2	2
C12orf69	0	0	0	0	0	0
C12orf70	0	4	3	2	0	2
C12orf71	0	0	0	0	0	0
C12orf73	67	52	48	81	73	73
C12orf74	0	0	0	0	0	0
C12orf75	205	279	199	166	198	135
C12orf76	16	22	8	16	27	20
C12orf77	0	0	0	0	2	0
C13orf15	29	28	18	20	23	28
C13orf33	0	1	0	0	0	0
C13orf35	0	0	0	0	0	0
C14orf1	222	292	255	208	291	219
C14orf101	145	180	142	194	198	170
C14orf102	213	234	210	236	232	229
C14orf105	0	0	0	0	0	0
C14orf109	102	105	116	133	130	122
C14orf118	385	456	365	401	493	362
C14orf119	205	217	173	287	313	240
C14orf126	146	179	162	214	212	206
C14orf129	250	297	257	329	369	299
C14orf132	66	79	71	92	96	94
C14orf133	282	292	252	352	406	340
C14orf135	460	496	409	541	632	574
C14orf142	131	176	169	201	211	204
C14orf149	47	50	42	54	64	43
C14orf159	179	233	196	199	205	190
C14orf162	0	2	0	0	0	0
C14orf165	1	0	0	0	0	0
C14orf166	1302	1327	1204	1499	1708	1256
C14orf166B	0	0	0	0	0	0
C14orf167	72	96	84	71	89	86
C14orf169	99	129	90	123	140	123
C14orf176	0	2	3	5	1	1
C14orf177	0	0	0	0	0	0
C14orf178	1	3	1	0	2	0
C14orf180	0	0	0	0	0	0
C14orf182	6	8	8	3	1	5
C14orf183	1	0	2	4	0	2
C14orf2	907	838	811	1023	1141	897
C14orf21	232	238	207	224	257	198
C14orf23	0	0	1	0	0	0
C14orf28	22	25	21	22	32	21
C14orf37	20	21	13	8	15	15
C14orf38	2	1	2	2	4	0
C14orf39	0	0	0	1	1	0
C14orf43	671	799	584	623	799	552
C14orf45	60	102	85	183	174	144
C14orf49	21	26	40	23	32	25
C14orf55	0	0	0	1	1	0
C14orf64	0	0	1	0	0	0
C14orf79	37	41	48	41	63	41
C14orf80	63	69	68	89	96	88
C14orf93	50	59	57	67	96	62
C15orf17	160	147	156	161	200	131
C15orf2	0	0	0	0	0	0
C15orf23	1085	1071	979	1298	1362	1143
C15orf24	194	244	197	229	293	260
C15orf26	2	6	5	2	2	4
C15orf27	7	3	4	7	5	9
C15orf29	106	101	88	85	127	120
C15orf32	0	0	0	0	0	0
